pa_id,name,type,type_group,iucn_category,state,governance,environment,area_ha,area_km2,longitude,latitude,gaz_year,is_indigenous
VIC_2891,Loddon River S.R.,Natural Features Reserve,Nature reserve,III,VIC,G,T,13.82,0.14,144.23785744,-37.27456569,1979,False
VIC_1140,Boorongie B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.82,0.14,142.46770852,-35.07032771,1979,False
VIC_2702,Station Creek SS.R.,Natural Features Reserve,Nature reserve,III,VIC,G,T,13.8,0.14,142.52092207,-36.77199304,1982,False
TAS_50388,Patersons Island,Private Sanctuary,Private or covenant,VI,TAS,P,T,13.79,0.14,147.22260894,-41.49138014,1946,False
TAS_50095,Mount William,Conservation Area,Conservation park/reserve,VI,TAS,G,T,13.77,0.14,148.23890006,-41.02936612,1973,False
TAS_13914,Waterfall Bay Road,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.77,0.14,147.92635602,-43.0400536,2015,False
VIC_2000,Cobungra B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.77,0.14,147.39077333,-37.09557015,1979,False
VIC_2013,Pyramid Hill B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.77,0.14,144.13670722,-36.06695364,1986,False
TAS_21591,Jordans Rd North Motton,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.76,0.14,146.06696324,-41.17942093,2007,False
VIC_2510,Broadwater I91 B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.75,0.14,142.04685519,-38.21113105,1983,False
VIC_783,Yallamatta Swamp W.R,Nature Conservation Reserve,Conservation park/reserve,Ia,VIC,G,T,13.75,0.14,141.12775265,-36.97569297,1983,False
TAS_13636,Waggs Gully Road,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.75,0.14,146.98592742,-42.99005038,2012,False
VIC_2064,Currawa H57 B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.74,0.14,145.66666817,-36.42898931,1986,False
TAS_24227,Randalls Bay #1,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.72,0.14,147.11205681,-43.24273838,2002,False
WA_40552,Unnamed WA40552,5(1)(h) Reserve,Other,VI,WA,G,T,13.71,0.14,115.70784624,-33.35781162,1988,False
TAS_20035,Brookstead,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.71,0.14,147.86585477,-41.81807985,2007,False
VIC_2513,Tyrrell Creek SS.R.,Natural Features Reserve,Nature reserve,III,VIC,G,T,13.69,0.14,143.10053735,-35.71538269,1979,False
TAS_20529,Ravensdale #1,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.69,0.14,147.91981091,-42.34785832,2003,False
VIC_3782,Hospital Hill B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.68,0.14,142.88573996,-37.22170909,1998,False
WA_22697,Browse Island,Nature Reserve,Nature reserve,Ia,WA,G,B,13.68,0.14,123.54886744,-14.10926461,1947,False
TAS_14383,Cradle Mountain Road,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.68,0.14,146.04634574,-41.5309976,2021,False
QLD_4245MIF001,Magnetic Island 2,Conservation Park,Conservation park/reserve,III,QLD,G,T,13.68,0.14,146.8446539,-19.11740552,2018,False
